Sample	Reference	Paired	Condition	Experiment	OutputDir	PoolCountFile	Person	Date	Mutant Library	Media	Format	Temperature	pH	Shaking	StartOD	EndOD	Hours	Notes	SetName	Group	Index	short	Condition_1
OA_YNB_Gluc_C	OA_T0C	TRUE	YNB_Glucose_Control_for_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setF	Fatty_Acid_Metabolism	OA_YNB_Gluc	YNB_Glucose_Control_for_Oleic_Acid	YNB_Glucose_Control_for_Oleic_Acid
OA_YNB_OA_A	OA_T0A	TRUE	YNB_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Oleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setF	Fatty_Acid_Metabolism	OA_YNB_OA	YNB_Oleic_Acid	YNB_Oleic_Acid
OA_YNB_OA_B	OA_T0B	TRUE	YNB_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Oleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setF	Fatty_Acid_Metabolism	OA_YNB_OA	YNB_Oleic_Acid	YNB_Oleic_Acid
OA_YNB_OA_C	OA_T0C	TRUE	YNB_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Oleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setF	Fatty_Acid_Metabolism	OA_YNB_OA	YNB_Oleic_Acid	YNB_Oleic_Acid
RA_YNB_Gluc_A	RA_T0A	TRUE	YNB_Glucose_Control_for_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setG	Fatty_Acid_Metabolism	RA_YNB_Gluc	YNB_Glucose_Control_for_Ricinoleic_Acid	YNB_Glucose_Control_for_Ricinoleic_Acid
RA_YNB_Gluc_B	RA_T0B	TRUE	YNB_Glucose_Control_for_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setG	Fatty_Acid_Metabolism	RA_YNB_Gluc	YNB_Glucose_Control_for_Ricinoleic_Acid	YNB_Glucose_Control_for_Ricinoleic_Acid
RA_YNB_Gluc_C	RA_T0C	TRUE	YNB_Glucose_Control_for_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setG	Fatty_Acid_Metabolism	RA_YNB_Gluc	YNB_Glucose_Control_for_Ricinoleic_Acid	YNB_Glucose_Control_for_Ricinoleic_Acid
RA_YNB_MR_A	RA_T0A	TRUE	YNB_Methylricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Methylricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_MR	YNB_Methylricinoleic_Acid	YNB_Methylricinoleic_Acid
RA_YNB_MR_B	RA_T0B	TRUE	YNB_Methylricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Methylricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_MR	YNB_Methylricinoleic_Acid	YNB_Methylricinoleic_Acid
RA_YNB_MR_C	RA_T0C	TRUE	YNB_Methylricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Methylricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_MR	YNB_Methylricinoleic_Acid	YNB_Methylricinoleic_Acid
RA_YNB_RA_A	RA_T0A	TRUE	YNB_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Ricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_RA	YNB_Ricinoleic_Acid	YNB_Ricinoleic_Acid
RA_YNB_RA_B	RA_T0B	TRUE	YNB_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Ricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_RA	YNB_Ricinoleic_Acid	YNB_Ricinoleic_Acid
RA_YNB_RA_C	RA_T0C	TRUE	YNB_Ricinoleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	4/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 1% Ricinoleic Acid"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~3	72		setG	Fatty_Acid_Metabolism	RA_YNB_RA	YNB_Ricinoleic_Acid	YNB_Ricinoleic_Acid
AltCarb_Cellobiose_2pct_A	AltCarb_T0_A	TRUE	YNB_Cellobiose	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Cellobiose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	108		setH	Alternative_Carbon_1	AltCarb_Cellobiose_2pct	YNB_Cellobiose	YNB_Cellobiose
AltCarb_Cellobiose_2pct_B	AltCarb_T0_B	TRUE	YNB_Cellobiose	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Cellobiose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	108		setH	Alternative_Carbon_1	AltCarb_Cellobiose_2pct	YNB_Cellobiose	YNB_Cellobiose
AltCarb_Cellobiose_2pct_C	AltCarb_T0_C	TRUE	YNB_Cellobiose	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Cellobiose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	108		setH	Alternative_Carbon_1	AltCarb_Cellobiose_2pct	YNB_Cellobiose	YNB_Cellobiose
AltCarb_GA_2pct_A	AltCarb_T0_A	TRUE	YNB_Galacturonic_Acid_2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	4.5	36		setH	Alternative_Carbon_1	AltCarb_GA_2pct	YNB_Galacturonic_Acid_2%	YNB_Galacturonic_Acid_2%
AltCarb_GA_2pct_B	AltCarb_T0_B	TRUE	YNB_Galacturonic_Acid_2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	4.5	36		setH	Alternative_Carbon_1	AltCarb_GA_2pct	YNB_Galacturonic_Acid_2%	YNB_Galacturonic_Acid_2%
AltCarb_GA_2pct_C	AltCarb_T0_C	TRUE	YNB_Galacturonic_Acid_2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	4.5	36		setH	Alternative_Carbon_1	AltCarb_GA_2pct	YNB_Galacturonic_Acid_2%	YNB_Galacturonic_Acid_2%
AltCarb_GA_pt2pct_A	AltCarb_T0_A	TRUE	YNB_Galacturonic_Acid_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	20		setH	Alternative_Carbon_1	AltCarb_GA_pt2pct	YNB_Galacturonic_Acid_0.2%	YNB_Galacturonic_Acid_0.2%
AltCarb_GA_pt2pct_B	AltCarb_T0_B	TRUE	YNB_Galacturonic_Acid_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	20		setH	Alternative_Carbon_1	AltCarb_GA_pt2pct	YNB_Galacturonic_Acid_0.2%	YNB_Galacturonic_Acid_0.2%
AltCarb_GA_pt2pct_C	AltCarb_T0_C	TRUE	YNB_Galacturonic_Acid_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-galacturonic acid"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	0.8	20		setH	Alternative_Carbon_1	AltCarb_GA_pt2pct	YNB_Galacturonic_Acid_0.2%	YNB_Galacturonic_Acid_0.2%
AltCarb_Glucose_pt2pct_A	AltCarb_T0_A	TRUE	YNB_Glucose_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-glucose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	1.2	14		setH	Alternative_Carbon_1	AltCarb_Glucose_pt2pct	YNB_Glucose_0.2%	YNB_Glucose_0.2%
AltCarb_Glucose_pt2pct_B	AltCarb_T0_B	TRUE	YNB_Glucose_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-glucose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	1.2	14		setH	Alternative_Carbon_1	AltCarb_Glucose_pt2pct	YNB_Glucose_0.2%	YNB_Glucose_0.2%
AltCarb_Glucose_pt2pct_C	AltCarb_T0_C	TRUE	YNB_Glucose_0.2%	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 0.2% D-glucose"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	1.2	14		setH	Alternative_Carbon_1	AltCarb_Glucose_pt2pct	YNB_Glucose_0.2%	YNB_Glucose_0.2%
AltCarb_Glycerol_2pct_A	AltCarb_T0_A	TRUE	YNB_Glycerol	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glycerol"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	3.4	64		setH	Alternative_Carbon_1	AltCarb_Glycerol_2pct	YNB_Glycerol	YNB_Glycerol
AltCarb_Glycerol_2pct_B	AltCarb_T0_B	TRUE	YNB_Glycerol	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glycerol"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	3.4	64		setH	Alternative_Carbon_1	AltCarb_Glycerol_2pct	YNB_Glycerol	YNB_Glycerol
AltCarb_Glycerol_2pct_C	AltCarb_T0_C	TRUE	YNB_Glycerol	Alternative_Carbon_1	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	5/25/17	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glycerol"	50 mL in 250 mL baffled flask	30	7	200 RPM	0.1	3.4	64		setH	Alternative_Carbon_1	AltCarb_Glycerol_2pct	YNB_Glycerol	YNB_Glycerol
AltCarb2_glucA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_Glucose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Glucose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	11	20		setI	Alternative_Carbon_2	AltCarb2_gluc	YNB_CSM_KPO4_Glucose	YNB_CSM_KPO4_Glucose
AltCarb2_glucB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_Glucose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Glucose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	11	20		setI	Alternative_Carbon_2	AltCarb2_gluc	YNB_CSM_KPO4_Glucose	YNB_CSM_KPO4_Glucose
AltCarb2_glucC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_Glucose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Glucose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	11	20		setI	Alternative_Carbon_2	AltCarb2_gluc	YNB_CSM_KPO4_Glucose	YNB_CSM_KPO4_Glucose
AltCarb2_xylA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_Xylose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Xylose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	6	50		setI	Alternative_Carbon_2	AltCarb2_xyl	YNB_CSM_KPO4_Xylose	YNB_CSM_KPO4_Xylose
AltCarb2_xylB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_Xylose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Xylose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	6	50		setI	Alternative_Carbon_2	AltCarb2_xyl	YNB_CSM_KPO4_Xylose	YNB_CSM_KPO4_Xylose
AltCarb2_xylC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_Xylose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Xylose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	6	50		setI	Alternative_Carbon_2	AltCarb2_xyl	YNB_CSM_KPO4_Xylose	YNB_CSM_KPO4_Xylose
AltCarb2_araA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_Arabinose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Arabinose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	9.5	40		setI	Alternative_Carbon_2	AltCarb2_ara	YNB_CSM_KPO4_Arabinose	YNB_CSM_KPO4_Arabinose
AltCarb2_araB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_Arabinose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Arabinose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	9.5	40		setI	Alternative_Carbon_2	AltCarb2_ara	YNB_CSM_KPO4_Arabinose	YNB_CSM_KPO4_Arabinose
AltCarb2_araC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_Arabinose	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 1% Arabinose"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	9.5	40		setI	Alternative_Carbon_2	AltCarb2_ara	YNB_CSM_KPO4_Arabinose	YNB_CSM_KPO4_Arabinose
AltCarb2_aceA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_Acetate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.2% Acetate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	2	20		setI	Alternative_Carbon_2	AltCarb2_ace	YNB_CSM_KPO4_Acetate	YNB_CSM_KPO4_Acetate
AltCarb2_aceB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_Acetate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.2% Acetate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	2	20		setI	Alternative_Carbon_2	AltCarb2_ace	YNB_CSM_KPO4_Acetate	YNB_CSM_KPO4_Acetate
AltCarb2_aceC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_Acetate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.2% Acetate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	2	20		setI	Alternative_Carbon_2	AltCarb2_ace	YNB_CSM_KPO4_Acetate	YNB_CSM_KPO4_Acetate
AltCarb2_couA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_p-Coumarate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% p-Coumarate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_cou	YNB_CSM_KPO4_p-Coumarate	YNB_CSM_KPO4_p-Coumarate
AltCarb2_couB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_p-Coumarate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% p-Coumarate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_cou	YNB_CSM_KPO4_p-Coumarate	YNB_CSM_KPO4_p-Coumarate
AltCarb2_couC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_p-Coumarate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% p-Coumarate"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_cou	YNB_CSM_KPO4_p-Coumarate	YNB_CSM_KPO4_p-Coumarate
AltCarb2_ferA	AltCarb2_T0A	TRUE	YNB_CSM_KPO4_trans-ferulate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% Transferulic Acid"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_fer	YNB_CSM_KPO4_trans-ferulate	YNB_CSM_KPO4_trans-ferulate
AltCarb2_ferB	AltCarb2_T0B	TRUE	YNB_CSM_KPO4_trans-ferulate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% Transferulic Acid"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_fer	YNB_CSM_KPO4_trans-ferulate	YNB_CSM_KPO4_trans-ferulate
AltCarb2_ferC	AltCarb2_T0C	TRUE	YNB_CSM_KPO4_trans-ferulate	Alternative_Carbon_2	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/16/18	RtBC42D	"YNB no Amino Acids 6.7 g/L, Complete Supplement Mix 0.8 g/L, 76 mM KH2PO4, 24 mM Na2HPO4, 100 uM FeSO4, 0.5% Transferulic Acid"	50 mL in 250 mL baffled flask	30	6	200 RPM	0.1	5	50		setI	Alternative_Carbon_2	AltCarb2_fer	YNB_CSM_KPO4_trans-ferulate	YNB_CSM_KPO4_trans-ferulate
AltCarb2_T0B	AltCarb2_T0C	TRUE	Time_0_Comparison	QQ_check	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	4/5/19	RtBC42D			30	6	200 RPM				Simulated random samples with time0s	setJ	QQ_check	AltCarb2_T0	Time_0_Comparison	Time_0_Comparison
AltCarb_T0_C	AltCarb_T0_A	TRUE	Time_0_Comparison	QQ_check	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	4/5/19	RtBC42D			30	6	200 RPM				Simulated random samples with time0s	setJ	QQ_check	AltCarb_T0	Time_0_Comparison	Time_0_Comparison
RA_T0A	RA_T0B	TRUE	Time_0_Comparison	QQ_check	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	4/5/19	RtBC42D			30	6	200 RPM				Simulated random samples with time0s	setJ	QQ_check	RA_T0	Time_0_Comparison	Time_0_Comparison
OA_T0A	OA_T0B	TRUE	Time_0_Comparison	QQ_check	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	4/5/19	RtBC42D			30	6	200 RPM				Simulated random samples with time0s	setJ	QQ_check	OA_T0	Time_0_Comparison	Time_0_Comparison
Aux_T0_A	Aux_T0_B	TRUE	Time_0_Comparison	QQ_check	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	4/5/19	RtBC42D			30	6	200 RPM				Simulated random samples with time0s	setJ	QQ_check	Aux_T0	Time_0_Comparison	Time_0_Comparison
